Unnamed: 0,full_text,sumy_LSA,sumy_TextRank,rut5-base-paraphraser(LSA),rut5-base-paraphraser(TextRank)
34," 
Требования:  Требуются
ОХРАННИКИ
Октябрьский район
Г/р 1/2 суток, з/п от 2000 руб./смена
Официальное трудоустройство. Обучение за счет работодателя.", з/п от 2000 руб. смена. Официальное трудоустройство. Обучение за счет работодателя., Октябрьский район. Официальное трудоустройство. Обучение за счет работодателя.,,
35," 
Требования:   В загородный стрелковый клуб требуется
ОПЕРАТОР СТЕНДОВОЙ СТРЕЛЬБЫ
Г/р 5-дневка, 09.00-18.00 час.
З/п 28000 руб., своевременно.
Бесплатные обеды.
Место работы - Кубеково, доставка служебным транспортом.  
Информация о работодателе: ООО ЧОП ""Тамерлан"".
", В загородный стрелковый клуб требуется. ОПЕРАТОР СТЕНДОВОЙ СТРЕЛЬБЫ. доставка служебным транспортом., В загородный стрелковый клуб требуется. З/п 28000 руб. своевременно. Место работы.,,
36," 
Требования:  Требуются
ОХРАННИКИ
В магазины на ул. Телевизорная, ул. Мужества
Дневные смены, 10.00-21.00 час.
З/п 1467 руб./смена
Официальное трудоустройство. Обучение за счет работодателя.", В магазины на ул. Телевизорная. Дневные смены. Обучение за счет работодателя., В магазины на ул. Телевизорная. Дневные смены. З/п 1467 руб. смена.,,
37," 
Требования:  В частный детский сад ""ЛЮБАКС"" требуется
ЛОГОПЕД (подработка)
Место работы: р-он Мичурина (ул. Московская).", В частный детский сад. Место работы. ул. Московская., В частный детский сад. Место работы. р-он Мичурина.,,
38," 
Требования:  Требуется
ПОВАР-УНИВЕРСАЛ
в кулинарный цех
З/п от 180 руб./час. Г/р 5/2 дня", ПОВАР-УНИВЕРСАЛ. в кулинарный цех. З/п от 180 руб. час., Требуется. в кулинарный цех. З/п от 180 руб. час.,,
39," 
Требования:  Требуется
ОХРАННИК 4 разряда
в Пищевой техникум, ул. Партизана Железняка.
Г/р 1/2 суток, з/п 1800 руб./смена.
Официальное трудоустройство.
При необходимости предоставляется бесплатное обучение.", в Пищевой техникум. ул. Партизана Железняка. При необходимости предоставляется бесплатное обучение., ОХРАННИК 4 разряда. з/п 1800 руб. смена. При необходимости предоставляется бесплатное обучение.,,
40,"ООО Сбербанк-Сервис   крупнейшая ИТ-сервисная компания федерального значения. Наши офисы представлены даже в самых удаленных уголках страны, а в нашей команде уже работают более 7500 профессиональных сотрудников. Если Вы ищете стабильную работу с перспективой профессионального развития, интересными задачами и дружным коллективом, направляйте Ваше резюме на нашу вакансию:  Инженер по обслуживанию систем безопасности   Обязанности:  
 
 Обслуживание, настройка систем ОПС (охранно - пожарной сигнализации), СОУЭ (систем оповещения и управления эвакуацией), СКУД (систем контроля и управления доступом), ТСВ (телевизионных систем видеонаблюдения); 
 Модернизация систем безопасности, их монтаж, устранение инцидентов; 
 Планово - профилактические работы. 
 
 Требования:  
 
 Опыт обслуживания систем безопасности; 
 Навыки монтажа слаботочных систем; 
 Умение читать проектную документацию; 
 Навыки работы в электроустановках; 
 Навыки работ на высоте; 
 Готовность к разъездному характеру работы 
 
 Условия:  
 
 Обучение специфике работы 
 Стабильная работа в одной из самых крупных сервисных компаний страны; 
 Официальное оформление по ТК РФ 
 Льготное ипотечное кредитование; 
 Возможность карьерного и профессионального роста; 
 Подключение к программе ДМС; 
 Корпоративные мероприятия и другие активности; 
 Заработная плата: ежемесячный оклад + премия по результатам работы; 
 Работа в отличном коллективе, где важно мнение каждого члена команды. 
 ", а в нашей команде уже работают более 7500 профессиональных сотрудников. Если Вы ищете стабильную работу с перспективой профессионального развития. Стабильная работа в одной из самых крупных сервисных компаний страны., Инженер по обслуживанию систем безопасности. Навыки работы в электроустановках. Стабильная работа в одной из самых крупных сервисных компаний страны.,"Если вы ищите стабильное рабочее место с перспективным профессиональным развитием, то вы ищите стабильное рабочее место в одном из крупнейших сервисных предприятий страны - стабильное рабочее",
41,"Добрый день. В связи с активным развитием нашей компании и расширением штата сотрудников в нашу команду требуется менеджер по продажам.    Мы - крупная федеральная компания   ""Центр законного списания долгов"".  Оказываем помощь гражданам, которые столкнулись с проблемой невыплаты кредитов банкам и имеют непосильную финансовую нагрузку.     Работа с нами - это работа в перспективной развивающей сфере. Это продуманная до мелочей эффективная система продаж и возможность карьерного роста. У нас есть все для комфортной работы: дружный коллектив, удобный офис в центре города и интересные задачи. Мы гарантируем хороший доход при вашем желании добиваться поставленных целей и демонстрации высоких результатов.    Что нужно делать:  
 
 совершать исходящие звонки текущим клиентам; 
 принимать входящие звонки, отвечать на сообщения в мессенджерах; 
 проводить встречи в офисе, заключать договоры, выполнять план продаж; 
 у нас НЕТ ХОЛОДНЫХ ЗВОНКОВ! 
 
   Мы ждем от тебя:  
 
 опыт работы в сфере продаж; 
 грамотную устную и письменную речь; 
 ответственный подход к рабочим задачам; 
 умения общаться и убеждать людей, доносить ценность услуги. 
 
   Что мы можем предложить:  
 
 Работа в перспективной, развивающей сфере,  которая приносит пользу людям;  
 Корпоративное обучение и карьерный рост; 
 Интересные и амбициозные задачи; 
 Современный, комфортный офис в центре города; 
 График работы: 5 дневная рабочая неделя с 10:00 до 19:00; 
 Выплата З/П без задержек 2 раза в месяц; 
 Трудоустройство по ТК РФ. 
 
   Мы приглашаем не на работу! Мы приглашаем в команду!  ", которые столкнулись с проблемой невыплаты кредитов банкам и имеют непосильную финансовую нагрузку. Это продуманная до мелочей эффективная система продаж и возможность карьерного роста. Мы гарантируем хороший доход при вашем желании добиваться поставленных целей и демонстрации высоких результатов., В связи с активным развитием нашей компании и расширением штата сотрудников в нашу команду требуется менеджер по продажам. удобный офис в центре города и интересные задачи. опыт работы в сфере продаж.,"Для тех, кто столкнулся с неуплатой банкам кредитов и обладает непосильной финансовой нагрузкой, - это продуманный до минимума эффективный маркетинг и карьерный рост. Мы","Благодаря активному развитию нашей фирмы и увеличению числа сотрудников, в нашей команде требуется руководитель продаж. удобная офисная площадка в центральной части города, интересные для нас задачи"
42," Компания НИИ УЭТМ находится в поисках рабочего по комплексному обслуживанию и ремонту зданий      Обязанности:     обеспечение работы комплекса зданий (навыки по проведению ремонтных и сантехнических работ, погрузочно-разгрузочные работы       Требования:     Умение работать ручным и электроинструментом  Навыки электрогазосварочных работ (желательно)       Условия:    Размер зарплаты зависит от опыта и квалификации, устанавливается по результатам собеседования.   Официальное трудоустройство  Полный соц. пакет  Пятидневная рабочая неделя (пн-пт) с 8 до 17 часов.  Оборудованы место для приема пищи, душевая кабина.  Фирменная спецодежда  ", Компания НИИ УЭТМ находится в поисках рабочего по комплексному обслуживанию и ремонту зданий. навыки по проведению ремонтных и сантехнических работ. Размер зарплаты зависит от опыта и квалификации., Компания НИИ УЭТМ находится в поисках рабочего по комплексному обслуживанию и ремонту зданий. навыки по проведению ремонтных и сантехнических работ. Оборудованы место для приема пищи.,,
43," 
Требования:  г. Саратов, ул. Политехническая, д. 77, з/п 15000 руб., график с 9 до 16 час.", г. Саратов. ул. Политехническая. д. 77. з/п 15000 руб. график с 9 до 16 час., г. Саратов. ул. Политехническая. д. 77. з/п 15000 руб. график с 9 до 16 час.,,
44," 
Требования:  в ночную смену. На кондитерское производство (ул. Бахметьевская, 49)", в ночную смену. На кондитерское производство. ул. Бахметьевская., в ночную смену. На кондитерское производство. ул. Бахметьевская.,,
45," 
Требования:  на продуктовую точку, график 7/7, з/п от 25000 руб.", на продуктовую точку. график 7/7. з/п от 25000 руб., на продуктовую точку. график 7/7. з/п от 25000 руб.,,
46," 
Требования:  Ведущий производитель запчастей для двигателей самолетов и вертолетов. Осуществляем бронирование и отстрочку от мобилизации в соответствии с действующим законодательством.  
Информация о работодателе: СЭПО.
", Ведущий производитель запчастей для двигателей самолетов и вертолетов. Осуществляем бронирование и отстрочку от мобилизации в соответствии с действующим законодательством. Информация о работодателе., Осуществляем бронирование и отстрочку от мобилизации в соответствии с действующим законодательством. Информация о работодателе. СЭПО.,,
47," 
Требования:  В пекарню. График: 3/3. Р-н автовокзала", В пекарню. График. Р-н автовокзала, В пекарню. График. Р-н автовокзала,,
48," 
Требования:  Районы и графики работы различные. Своевременная з/п, обучение, полный соцпакет", Районы и графики работы различные. Своевременная з/п. полный соцпакет, Районы и графики работы различные. Своевременная з/п. полный соцпакет,,
49," 
Требования:  з/п 45000 руб., г. Энгельс, ул. Гагарина, 1 А (р-н Мясокомбината).  
Информация о работодателе: Завод ""Спецмаш"".
", з/п 45000 руб. г. Энгельс. 1 А. р-н Мясокомбината. Информация о работодателе., з/п 45000 руб. г. Энгельс. ул. Гагарина. 1 А. р-н Мясокомбината.,,
50," 
Требования:  Организации в Ленинском р-не г. Саратова для работы на объектах Министерства обороны. Командировки, з/п от 400000 руб.", Организации в Ленинском р-не г. Саратова для работы на объектах Министерства обороны. Командировки. з/п от 400000 руб., Организации в Ленинском р-не г. Саратова для работы на объектах Министерства обороны. Командировки. з/п от 400000 руб.,,
51," 
Требования:  3-5-го разряда, организации в Ленинском р-не г. Саратова для работы на объектах Министерства обороны. Командировки, з/п от 400000 руб.", организации в Ленинском р-не г. Саратова для работы на объектах Министерства обороны. Командировки. з/п от 400000 руб., 3-5-го разряда. организации в Ленинском р-не г. Саратова для работы на объектах Министерства обороны. з/п от 400000 руб.,,
52," Компания ООО «ЧелябГЭТ» приглашает на работу уборщика производственных и служебных помещений мы ценим наших сотрудников, за всю историю компании ни разу не задерживали заработную плату. Будем рады видеть Вас в нашем дружном коллективе.      Требования:   Ответственное отношение к работе, добросовестное выполнение задач, поставленных руководством.      Вам предстоит:    сухая и влажная уборка служебных и складских, общественных помещений;  ручная уборка и дезинфекция санузлов, в т.ч. пополнение туалетных принадлежностей̆;  соблюдение правил санитарии и гигиены в убираемых помещениях;  очистка мусорных контейнеров, вынос мусора;  ведение журналов по уборке.       Условия:    Соц. пакет,  регулярно индексируемая, полностью белая, своевременная заработная плата,  частичная компенсация питания в столовой предприятия,  частичная компенсация проезда на общественном транспорте,  льготное посещение сауны, бассейна, спортивного зала,  на предприятии действует коллективный договор, профсоюз, трехсторонняя комиссия для разрешения трудовых споров, развитая корпоративная культура.       График работы:   Пятидневная рабочая неделя.  понедельник - четверг с 8:00 до 17:00, пятница с 8:00 до 15:45 (летний период с 8:00 до 15:00, обеденный перерыв с 12:00 до 12:36)  обеденный перерыв с 12:00 до 12:45.  выходные: суббота и воскресенье      Место работы:   Трамвайное депо № 1 - г. Челябинск, ул. Первой Пятилетки, 30 ", приглашает на работу уборщика производственных и служебных помещений мы ценим наших сотрудников. за всю историю компании ни разу не задерживали заработную плату. Будем рады видеть Вас в нашем дружном коллективе., приглашает на работу уборщика производственных и служебных помещений мы ценим наших сотрудников. сухая и влажная уборка служебных и складских. соблюдение правил санитарии и гигиены в убираемых помещениях.,"Приглашаем уборщиков производственных помещений и офисов, мы очень ценим своих сотрудников, всю свою историю компания никогда не задержала зарплату, будем рады увидеть вас в на","Приглашаем к работе уборщиком производственного и службового помещения, мы ценяем наших работников. сухой и сухой уборка производственного и службового помещения, соблюдения правил санитарного"
53," 
 Если Вы читаете это объявление, то значит Вы ищете работу/подработку с ежедневными выплатами, хорошим заработком и свободным графиком!!! 
 Водитель с личным автомобилем в  такси Ситимобил, к прямому партнеру сервиса парку ProfyTaxi!!    Условия работы:   1)Работа через приложение 2)Нет обязательных смен по 4-8 часов (график полностью свободный) 3)Можно совмещать работу с основной 4)Выплаты сразу после выполнения заказов 5) Хорошие минималки      -В средний доход в час от 600₽ до 950₽(в среднем, зависит от города) -Гарантия дохода от 5000р до 10000р в день (зависит от города) -Возможность брать заказы по пути домой -Кнопка мой район (отмечайте по карте в каком районе вам удобно работать) -Персональные цели от Ситимобил -Гео минималки в повышенный спрос -Всегда видите точку А и Б  заказа до приема   
 множество бонусов от парка    Требования для работы:      Стаж вождения на пассажирские перевозки от 3х лет На тариф доставка стаж неважен Телефон на базе Android Автомобиль без явных повреждений 
   
 ", 3)Можно совмещать работу с основной 4)Выплаты сразу после выполнения заказов 5. отмечайте по карте в каком районе вам удобно работать. Всегда видите точку А и Б. заказа до приема., 3)Можно совмещать работу с основной 4)Выплаты сразу после выполнения заказов 5. В средний доход в час от 600. до 950. в среднем. Стаж вождения на пассажирские перевозки от 3х лет На тариф доставка стаж неважен Телефон на базе Android Автомобиль без явных повреждений,,3) Возможно совмещение работы с основным 4) Выплата сразу при заказе 5. В среднем зарплата от 600 до 950 рублей в час Стаж работы по пассажирским перевозкам от 3 лет Стаж работы по тарифам
54," Обязанности: изготовления столярных изделий (мебель,лестницы, итд)  
 
    
 
 Требования:умение читать чертежи,высчитывать размеры   
 
    
 
 Условия:знание станков  
 
    
 "," изготовления столярных изделий. умение читать чертежи,высчитывать размеры. Условия:знание станков"," изготовления столярных изделий. мебель,лестницы. умение читать чертежи,высчитывать размеры.",,
55,"На данный момент в ГК Мегаполис открыта вакансия "" ВОДИТЕЛЬ-ЭКСПЕДИТОР "". 
 ТРЕБОВАНИЯ:  
 
 Водительские права категории ""В"". 
 Стаж вождения от 1 года (желательно на газели); 
 Опыт работы водителем по трудовой книжке от 1 года. 
 
 ОБЯЗАННОСТИ:  
 
 Прием товара со склада согласно выписанных накладных; 
 Развоз товара по предприятиям, оформление необходимой документации, ответственность за полученные за товар по накладным денежные средства, сдача их в кассу в конце рабочего дня. 
 
 УСЛОВИЯ:  
 
 Оформление по ТК РФ (ежегодный оплачиваемый отпуск 28 календарных дней, оплата листка временной нетрудоспособности, соблюдение прочих гарантий по ТК РФ); 
 График работы: 5/2 с вторника по субботу, время работы с 7:00/8:00 до 16:00 (воскресенье, понедельник - выходные). 
 ", На данный момент в ГК Мегаполис открыта вакансия. Опыт работы водителем по трудовой книжке от 1 года. Прием товара со склада согласно выписанных накладных., Опыт работы водителем по трудовой книжке от 1 года. ответственность за полученные за товар по накладным денежные средства. Оформление по ТК РФ.,,
56," Обязанности:  
 
 Ведение бухгалтерского, налогового и управленческого учёта; 
 Переход 1С с редакции 7.7 на 8.3 Комплексная автоматизация; 
 Реализация проектов по оптимизации учета.   
 
 Требования:  
 
 Опыт учета производства, формирования себестоимости, управленческого учета; 
 Образование: высшее бухгалтерское (экономическое); 
 Опыт работы в должности главного бухгалтера от 3 лет (производство); 
 Знание бухгалтерского и налогового законодательства; 
 Знание учета 1С 8.3 Комплексная автоматизация. 
 
 Условия:  
 
 Работа на крупном и стабильном производственном предприятии машиностроения; 
 Оформление по ТК РФ; 
 Расширенный соцпакет; 
 Рабочий день с 8.00 до 17.00, пятидневная рабочая неделя; 
 Работа на территории работодателя (Сормовский район, ул. Зайцева, 31 п. 22); 
 Служебный автобус до Автозаводского и Ленинского района (в утреннее и вечернее время). 
 ", Опыт работы в должности главного бухгалтера от 3 лет. Работа на крупном и стабильном производственном предприятии машиностроения. Служебный автобус до Автозаводского и Ленинского района., налогового и управленческого учёта. Опыт учета производства. Знание бухгалтерского и налогового законодательства.,,
57," Ищем менеджера по продажам услуг - администратора в детскую студию развития «ТОТ»      Обязанности:    • Проводить клиентам презентацию продуктов детской студии, ориентировать по ценам и акциям  • Выявлять потребности клиентов в обучении детей  • Активно продавать продукты компании  • Отрабатывать возражения, подводить к принятию решения  • Работать с рекламациями клиента, с целью сохранения лояльности к студии  • Работать с базой данных клиентов в CRM системе, с договорами  • Работать с кассой/банковским терминалом  • Принимать звонки, взаимодействовать с клиентами во всех мессенджерах и соцсетях  • Следить за чистотой и порядком в студии (наличие мыла, туалетной бумаги, канцелярских товаров, расходных материалов и т.д.), своевременно информировать Управляющего о необходимости закупок  • Вести отчётность по продажам, табель рабочего времени сотрудников и документооборот      Требования:    • Опыт продаж  • Доброжелательность и отзывчивость  • Умение четко и доходчиво излагать свои мысли, грамотная устная и письменная речь  • Высокая ответственность и самоорганизация  • Умение работать в режиме многозадачности и четко расставлять приоритеты      Условия:    • График 5/2 с 15:00 до 21:00  • Официальное трудоустройство  • Коллектив дружный и молодой  • Оклад + премия      Резюме необходимо направлять на электронную почту ", Работать с базой данных клиентов в CRM системе. расходных материалов и т.д. своевременно информировать Управляющего о необходимости закупок. Умение работать в режиме многозадачности и четко расставлять приоритеты., Работать с базой данных клиентов в CRM системе. взаимодействовать с клиентами во всех мессенджерах и соцсетях. Умение работать в режиме многозадачности и четко расставлять приоритеты.,"Работа с клиентской базой в CRM-системе, расходными материалами и др. своевременным информированием Управляющей о необходимых закупках. Умением работать на многозадачном режиме и четким рас",
58,"  Обязанности:  Производство работ по СПК и вент.фасадам. Организация и ведение работ на строительном объекте, расстановка бригад, ведение контроля качества работ. Сдача выполненных работ заказчику и техническому надзору. Подготовка комплекта исполнительной документации.  
 
    
 
  Требования:  Коммуникабельность и умение управлять коллективом. Умение читать проектную документацию. Опыт работы по СПК и вент.фасадам от 3-х лет. Опыт руководящей работы, умение работать в Автокаде и сопутствующих программах.  
 
    
 
  Условия:  Работа по Москве и Московской области. Наличие личного автотранспорта.   
 
    
 ", Организация и ведение работ на строительном объекте. Сдача выполненных работ заказчику и техническому надзору. Опыт работы по СПК и вент.фасадам от 3-х лет., Производство работ по СПК и вент.фасадам. Опыт работы по СПК и вент.фасадам от 3-х лет. Работа по Москве и Московской области.,,
59,"  Обязанности:  Производство работ по СПК и вент.фасадам. Организация и ведение работ на строительном объекте, расстановка бригад, ведение контроля качества работ. Сдача выполненных работ заказчику и техническому надзору. Подготовка комплекта исполнительной документации.  
 
    
 
  Требования:  Коммуникабельность и умение управлять коллективом. Умение читать проектную документацию. Опыт работы по СПК и вент.фасадам от 3-х лет. Опыт руководящей работы, умение работать в Автокаде и сопутствующих программах.  
 
    
 
  Условия:  Работа по Москве и Московской области. Наличие личного автотранспорта.   
 
    
 ", Организация и ведение работ на строительном объекте. Сдача выполненных работ заказчику и техническому надзору. Опыт работы по СПК и вент.фасадам от 3-х лет., Производство работ по СПК и вент.фасадам. Опыт работы по СПК и вент.фасадам от 3-х лет. Работа по Москве и Московской области.,,
60," Обязанности:  
 
 Поиск клиентов для размещения контракта 
 Продажа услуг компании, продукция полиграфии 
 
 Требования:  
 
 Коммуникабельность, умение разговаривать с заказчиком, ответственность 
 Желание работать и совершенствоваться 
 
 Условия:  
 
 Не полный рабочий день 
 Пенсионеры, мамочки, надомники 
  
 ", Поиск клиентов для размещения контракта. умение разговаривать с заказчиком. Желание работать и совершенствоваться., Поиск клиентов для размещения контракта. продукция полиграфии. умение разговаривать с заказчиком.,,
61,"  Обязанности:    продвижение бизнеса  учет и планирование финансовой деятельности бизнеса  бухгалтерия и отчетность в налоговой   Требования :   Знание 1С,   опытный пользователь windows 7, office  грамотность, порядочность,  творческий подход к поиску способов выполнения оставленных задач  стрессоустойчивость  ответственность за свои действия   Условия :   полный рабочий день    ", учет и планирование финансовой деятельности бизнеса. бухгалтерия и отчетность в налоговой. творческий подход к поиску способов выполнения оставленных задач., учет и планирование финансовой деятельности бизнеса. опытный пользователь windows 7. office. творческий подход к поиску способов выполнения оставленных задач.,,
62," Обязанности:  
 
 Активный и самостоятельный поиск новых клиентов (Крестьянско-фермерские хозяйства, агро-промышленные холдинги, частные фермеры, розничные покупатели) (Ростовская область, ЮФО). Прямые продажи.  
 Личные переговоры на уровне лиц, принимающих решения, подготовка коммерческих предложений. 
 Выезд к потенциальным клиентам для проведения переговоров, презентаций и закладки опытов. 
 Заключение договоров, контроль дебиторской задолженности, отчетность, заполнение базы СРМ. 
 Участие в профильных выставках, семинарах, днях поля. 
 
 Требования:    
 
 Агрономическое образование ИЛИ опыт работы в сельском хозяйстве (агроном, фермер, продажи)- Обязательно. 
 Опыт активных прямых продаж от 2 лет 
 Хорошее знание региона, 
 Наличие клиентской базы с/х предприятий и фермерских хозяйств является преимущественным фактором, 
 Готовность обучаться 
 Навыки проведения переговоров (в том числе с первыми лицами компаний) и гибкость принятия решений, 
 Наличие водительского удостоверения и готовность к разъездному характеру работы. 
 
 Условия:   
 
 Оплата за результат: оклад + бонус от личных продаж, 
 Размер оклада зависит от квалификации, обсуждается по результатам собеседования, 
 Корпоративная мобильная связь, топливная карта, служебный автомобиль (после прохождения испытательного срока), 
 комфортный офис в центре со своей парковкой, 
 обучение и перспектива роста (как доходов, так и карьеры). 
 ", Агрономическое образование ИЛИ опыт работы в сельском хозяйстве. Наличие клиентской базы с/х предприятий и фермерских хозяйств является преимущественным фактором. Наличие водительского удостоверения и готовность к разъездному характеру работы., Опыт активных прямых продаж от 2 лет. Наличие клиентской базы с/х предприятий и фермерских хозяйств является преимущественным фактором. Наличие водительского удостоверения и готовность к разъездному характеру работы.,"Опыт работы в агропромышленном комплексе или опыт ведения сельского хозяйства - преимущественное условие наличие базы клиентов сельскохозяйственных предприятий, фермеров - наличие удостоверений водителя","Опыт активной прямой продаж с 2 лет, клиентская база сельскохозяйственных предприятий, фермеров - преимущество. Область водительским удостоверением, готовностью к переездной работе."
63," Требования:  
 
 Наличие своего автомобиля 
 Водительские права категории B 
 Стаж вождения от 1 года 
 
 Обязанности:  
 
 Доставка документов по Москве 
 
 Условия:  
 
 Заработная плата от 55 000 рублей + бензин + оплата мобильной связи + бонус 
 Офис м. Павелецкая 
 ", Водительские права категории B. Стаж вождения от 1 года. Доставка документов по Москве. Заработная плата от 55 000 рублей., Водительские права категории B. Стаж вождения от 1 года. Доставка документов по Москве. Офис м. Павелецкая,,
64," Легенда американского фаст-фуда приглашает на работу всех, кто ищет свою первую работу, кто хочет совмещать работу и учебу, кто готов начать карьеру в ресторанном бизнесе!      От тебя требуется:    Коммуникабельность;  Желание работать в дружном коллективе;       Что будет входить в твои обязанности:    Приготовление блюд по стандартам компании;  Расчет гостей на кассе;  Прием и выдача заказа;  Поддержание чистоты в ресторане    Условия работы    Работа рядом с домом по гибкому графику;  Официальное оформление, «белая» заработная плата;  Оплачиваемая мед.книжка;  Работа в крупной международной компании;  Возможность быстрого карьерного роста.  ", Легенда американского фаст-фуда приглашает на работу всех. кто готов начать карьеру в ресторанном бизнесе. Работа рядом с домом по гибкому графику., Легенда американского фаст-фуда приглашает на работу всех. кто хочет совмещать работу и учебу. Работа в крупной международной компании.,,
